Outlet_Id,Retail_Outlet,Zone,Town,Distributor,Route,Channel,Category,DSE,STL,Transaction_Date,Status
10495,Ramesh Kirana Pasal,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-04-30 16:09:15,Active
10535,Neeru Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Large A Traditional,Traditional,David Gautam,Khim Sharma,2017-05-21 06:41:16,Active
10497,Diya Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 08:02:07,Active
10421,Bibek Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Large A Traditional,Traditional,David Gautam,Khim Sharma,2017-04-23 19:30:32,Active
10423,Mahesh Cold Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Large A Traditional,Traditional,David Gautam,Khim Sharma,2017-05-07 17:34:16,Active
10424,Sanjay Kirana Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-01-08 19:27:54,Active
10443,S.K Enterprises,Kathmandu,Chabahil,General Distributors,Kalopul A3,Large A Traditional,Traditional,David Gautam,Khim Sharma,2017-04-30 18:54:21,Active
10426,New Shrestha Kirana Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 06:14:35,Active
10428,Gyawali Cold Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 06:55:39,Active
10342,Shree Vindhabasini Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Large A Traditional,Traditional,David Gautam,Khim Sharma,2017-05-21 06:09:04,Active
6616,R K Bharab Khadhya Store,Valley,Patan,Amazon Distributors Patan,Talchhikhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-04-11 19:35:36,Active
9511,Jyoti Cold Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 07:26:19,Active
9386,Karmacharya Store,Kathmandu,Chabahil,General Distributors,Kalopul A3,Medium Traditional,Mini Mart,David Gautam,Khim Sharma,2017-05-21 05:53:59,Active
21928,Siva pd And Sons,Kathmandu,Tahachal,Amazon Distributors Tahachal,Ason,Large A Traditional,Traditional,Hari Babu,Deepak Baral,2017-05-21 08:53:15,Active
21919,Indra man Sign Kirana,Kathmandu,Tahachal,Amazon Distributors Tahachal,Ason,Large A Traditional,Traditional,Hari Babu,Deepak Baral,2017-05-21 08:53:15,Active
6612,Narendra Store,Valley,Patan,Amazon Distributors Patan,Talchhikhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-04-25 21:16:35,Active
6534,Aditi Store,Valley,Patan,Amazon Distributors Patan,Talchhikhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-04-25 21:07:17,Active
8843,R  and  R Store,Valley,Kirtipur,Sayapatri Enterprises,Kirtipur,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-05-21 10:09:56,Active
8871,Mina Center Stores,Valley,Kirtipur,Sayapatri Enterprises,Kirtipur,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-05-21 11:47:50,Active
8875,J B Store,Valley,Kirtipur,Sayapatri Enterprises,Kritipur-A,Large A Traditional,Traditional,Ujjawal Giri,Bibash Khatiwada,2017-04-16 22:48:09,Active
9227,TAnuja Store,Valley,Kirtipur,Sayapatri Enterprises,Kirtipur,Medium Traditional,Mini Mart,Krishna Simkhada,Bibash Khatiwada,2017-05-21 12:22:19,Active
6538,Tulsi Store,Valley,Patan,Amazon Distributors Patan,Talchhikhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-02 18:03:31,Active
6556,Thimile Store,Valley,Patan,Amazon Distributors Patan,Talchhikhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-09 18:09:41,Active
6067,Ashok Store,Valley,Patan,Amazon Distributors Patan,Talchhikhel A,Large A Traditional,Traditional,Gopal Maharjan,Laxman Maharjan,2017-05-16 06:53:33,Active
9289,Shristi Kirana Pasal,Valley,Kirtipur,Sayapatri Enterprises,Kirtipur,Medium Traditional,Mini Mart,Krishna Simkhada,Bibash Khatiwada,2017-03-26 20:47:11,Active
21566,Om Shankar Traders,Kathmandu,Kalanki,Sayapatri Enterprises,Thankot,Medium Traditional,Mini Mart,Krishna Simkhada,Bibash Khatiwada,2017-05-22 10:09:26,Active
21711,Gopalika Khadhya,Kathmandu,Kalanki,Sayapatri Enterprises,Thankot,Small A Traditional,Beauty,Krishna Simkhada,Bibash Khatiwada,2017-02-13 17:15:24,Active
13663,Hamro Joshi Pasal,Kathmandu,Chabahil,General Distributors,Koteswor,Large A Traditional,Traditional,Raj Kumar Kandel,Khim Sharma,2017-05-21 11:07:15,Active
21717,New R S Traders,Kathmandu,Kalanki,Sayapatri Enterprises,Thankot,Large A Traditional,Traditional,Krishna Simkhada,Bibash Khatiwada,2017-05-22 10:10:55,Active
